course_id,section_id,university,department
105075873,105062731,Troy University,EDU
105075873,105062732,Troy University,EDU
105075873,105062733,Troy University,EDU
105075872,105062734,Troy University,EDU
105075871,105062735,Troy University,EDU
105075871,105062736,Troy University,EDU
105075871,105062737,Troy University,EDU
105075871,105062738,Troy University,EDU
105075871,105062739,Troy University,EDU
105075870,105062740,Troy University,EDU
105075870,105062741,Troy University,EDU
105075870,105062742,Troy University,EDU
105075869,105062743,Troy University,EDU
105075869,106652154,Troy University,EDU
105075869,105062744,Troy University,EDU
105979627,105966945,Troy University,EDU
105075868,105062745,Troy University,EDU
106929038,106924798,Troy University,EDU
106667557,106652155,Troy University,EET
105979628,105966946,Troy University,EET
105979629,105966947,Troy University,EET
105979630,105966948,Troy University,EET
105979631,105966949,Troy University,EET
107844583,107832391,Troy University,EET
106723838,106716085,Troy University,EET
106723838,106716086,Troy University,EET
105979632,105966950,Troy University,EET
105979632,106716087,Troy University,EET
105979633,105966951,Troy University,EET
105979634,105966952,Troy University,EET
105075867,105062746,Troy University,ELE
105075867,106716088,Troy University,ELE
105075866,105062747,Troy University,ELE
105075866,106716089,Troy University,ELE
105075865,105062748,Troy University,ELE
105075865,107261991,Troy University,ELE
105075864,105062749,Troy University,ELE
105075864,105062750,Troy University,ELE
105075864,105062751,Troy University,ELE
105075864,105062752,Troy University,ELE
105075863,105062753,Troy University,ELE
105075863,107832392,Troy University,ELE
105075862,105062754,Troy University,ELE
105075861,105062755,Troy University,ELE
105075860,105062756,Troy University,ELE
106723837,106716090,Troy University,ELE
106723837,106924799,Troy University,ELE
106929037,106924800,Troy University,ELE
106929036,106924801,Troy University,ELE
105075859,105062757,Troy University,ENG
105075859,107504687,Troy University,ENG
105075859,107504688,Troy University,ENG
105075858,105062758,Troy University,ENG
105075858,105062759,Troy University,ENG
105075858,105062760,Troy University,ENG
105075858,105062761,Troy University,ENG
105075858,105062762,Troy University,ENG
105075858,105062763,Troy University,ENG
105075858,105062764,Troy University,ENG
105075858,105062765,Troy University,ENG
105075858,107832393,Troy University,ENG
105075857,105062766,Troy University,ENG
105075857,105062767,Troy University,ENG
105075857,105062826,Troy University,ENG
105075857,105062827,Troy University,ENG
105075857,105062828,Troy University,ENG
105075857,105062829,Troy University,ENG
105075857,105062830,Troy University,ENG
105075857,105062831,Troy University,ENG
105075857,105062832,Troy University,ENG
105075857,105062833,Troy University,ENG
105075857,105062834,Troy University,ENG
105075857,105062835,Troy University,ENG
105075857,105062836,Troy University,ENG
105075857,105062837,Troy University,ENG
105075857,105062838,Troy University,ENG
105075857,105062839,Troy University,ENG
105075857,105062840,Troy University,ENG
105075856,105062867,Troy University,ENG
105075856,105062868,Troy University,ENG
105075856,105062869,Troy University,ENG
105075856,105062870,Troy University,ENG
105075856,105062871,Troy University,ENG
105075856,105062872,Troy University,ENG
105075856,105062841,Troy University,ENG
105075856,105062842,Troy University,ENG
105075856,105062843,Troy University,ENG
105075856,105062844,Troy University,ENG
105075856,105062845,Troy University,ENG
105075856,105062846,Troy University,ENG
105075856,105062847,Troy University,ENG
105075856,105062848,Troy University,ENG
105075856,105062849,Troy University,ENG
105075856,105062850,Troy University,ENG
105075856,105062851,Troy University,ENG
105075856,105062852,Troy University,ENG
105075856,105062853,Troy University,ENG
105075856,105062854,Troy University,ENG
105075856,105062855,Troy University,ENG
105075856,105062856,Troy University,ENG
105075856,105062857,Troy University,ENG
105075856,105062858,Troy University,ENG
105075856,105062859,Troy University,ENG
105075856,105062860,Troy University,ENG
105075856,105062861,Troy University,ENG
105075856,105062862,Troy University,ENG
105075856,105062863,Troy University,ENG
105075856,105062864,Troy University,ENG
105075856,105062865,Troy University,ENG
105075856,105062866,Troy University,ENG
105075855,105062873,Troy University,ENG
105075855,105062874,Troy University,ENG
105075855,105062875,Troy University,ENG
105075855,105062876,Troy University,ENG
105075855,105062877,Troy University,ENG
105075855,105062878,Troy University,ENG
105075855,105062879,Troy University,ENG
105075855,105062880,Troy University,ENG
105075855,105062881,Troy University,ENG
105075854,105062882,Troy University,ENG
105075854,105062883,Troy University,ENG
105075854,105062998,Troy University,ENG
105075854,105062999,Troy University,ENG
